# p= (p1- p2)/2 
# f(p) = \sqrt(2/pi) \int dr r^2 j_2 (k*r) f(r)
# p 	 cluster 	 pieper 	 GFMC
7.68 	-2.69807e-05 	8.84934e-06 	-0.000171274
7.7 	-2.63519e-05 	1.03184e-05 	-0.000169353
7.72 	-2.57518e-05 	1.17175e-05 	-0.000167623
7.74 	-2.51795e-05 	1.30441e-05 	-0.000166081
7.76 	-2.46341e-05 	1.42958e-05 	-0.00016472
7.78 	-2.41147e-05 	1.54705e-05 	-0.000163535
7.8 	-2.36206e-05 	1.65666e-05 	-0.000162518
7.82 	-2.31508e-05 	1.75827e-05 	-0.000161662
7.84 	-2.27046e-05 	1.85178e-05 	-0.000160959
7.86 	-2.22811e-05 	1.93713e-05 	-0.000160401
7.88 	-2.18795e-05 	2.01429e-05 	-0.00015998
7.9 	-2.14991e-05 	2.08327e-05 	-0.000159685
7.92 	-2.1139e-05 	2.14411e-05 	-0.000159508
7.94 	-2.07987e-05 	2.19688e-05 	-0.000159438
7.96 	-2.04772e-05 	2.2417e-05 	-0.000159466
7.98 	-2.0174e-05 	2.2787e-05 	-0.000159581
8 	-1.98883e-05 	2.30807e-05 	-0.000159772
8.02 	-1.96194e-05 	2.33001e-05 	-0.00016003
8.04 	-1.93666e-05 	2.34474e-05 	-0.000160344
8.06 	-1.91294e-05 	2.35253e-05 	-0.000160703
8.08 	-1.8907e-05 	2.35367e-05 	-0.000161096
8.1 	-1.86989e-05 	2.34847e-05 	-0.000161514
8.12 	-1.85044e-05 	2.33725e-05 	-0.000161946
8.14 	-1.8323e-05 	2.32037e-05 	-0.000162382
8.16 	-1.8154e-05 	2.2982e-05 	-0.000162811
8.18 	-1.79969e-05 	2.27112e-05 	-0.000163226
8.2 	-1.78512e-05 	2.23952e-05 	-0.000163615
8.22 	-1.77162e-05 	2.20382e-05 	-0.000163971
8.24 	-1.75916e-05 	2.16444e-05 	-0.000164285
8.26 	-1.74767e-05 	2.12178e-05 	-0.000164548
8.28 	-1.73711e-05 	2.07628e-05 	-0.000164754
8.3 	-1.72743e-05 	2.02837e-05 	-0.000164895
8.32 	-1.71858e-05 	1.97847e-05 	-0.000164964
8.34 	-1.71052e-05 	1.927e-05 	-0.000164955
8.36 	-1.7032e-05 	1.87439e-05 	-0.000164862
8.38 	-1.69658e-05 	1.82103e-05 	-0.000164682
8.4 	-1.69062e-05 	1.76734e-05 	-0.000164408
8.42 	-1.68528e-05 	1.71371e-05 	-0.000164038
8.44 	-1.68052e-05 	1.6605e-05 	-0.000163567
8.46 	-1.67629e-05 	1.60808e-05 	-0.000162994
8.48 	-1.67257e-05 	1.5568e-05 	-0.000162316
8.5 	-1.66932e-05 	1.50697e-05 	-0.000161532
8.52 	-1.6665e-05 	1.45891e-05 	-0.000160641
8.54 	-1.66408e-05 	1.4129e-05 	-0.000159642
8.56 	-1.66203e-05 	1.3692e-05 	-0.000158537
8.58 	-1.66031e-05 	1.32806e-05 	-0.000157326
8.6 	-1.6589e-05 	1.28969e-05 	-0.000156009
8.62 	-1.65778e-05 	1.25427e-05 	-0.000154591
8.64 	-1.6569e-05 	1.22199e-05 	-0.000153072
8.66 	-1.65624e-05 	1.19298e-05 	-0.000151456
8.68 	-1.65578e-05 	1.16735e-05 	-0.000149747
8.7 	-1.65549e-05 	1.14519e-05 	-0.000147948
8.72 	-1.65536e-05 	1.12657e-05 	-0.000146064
8.74 	-1.65535e-05 	1.11154e-05 	-0.0001441
8.76 	-1.65544e-05 	1.10009e-05 	-0.000142061
