# r= r1-r2
# r 	 cluster 	 pieper 	 GFMC 		 GD
5.28 	-0.00190019 	0 		-5.27525e-10 	-2.28183e-19
5.3 	-0.00186256 	0 		-4.53929e-10 	-1.52188e-19
5.32 	-0.00182568 	0 		-3.90378e-10 	-1.01299e-19
5.34 	-0.00178953 	0 		-3.35534e-10 	-6.72925e-20
5.36 	-0.0017541 	0 		-2.88231e-10 	-4.46126e-20
5.38 	-0.00171936 	0 		-2.47456e-10 	-2.95175e-20
5.4 	-0.00168532 	0 		-2.12328e-10 	-1.94909e-20
5.42 	-0.00165195 	0 		-1.82084e-10 	-1.28445e-20
5.44 	-0.00161923 	0 		-1.56059e-10 	-8.4476e-21
5.46 	-0.00158717 	0 		-1.33678e-10 	-5.54473e-21
5.48 	-0.00155574 	0 		-1.14442e-10 	-3.63211e-21
5.5 	-0.00152494 	0 		-9.79177e-11 	-2.37449e-21
5.52 	-0.00149474 	0 		-8.3732e-11 	-1.54921e-21
5.54 	-0.00146514 	0 		-7.15608e-11 	-1.00875e-21
5.56 	-0.00143613 	0 		-6.1124e-11 	-6.55523e-22
5.58 	-0.0014077 	0 		-5.21798e-11 	-4.25131e-22
5.6 	-0.00137982 	0 		-4.45191e-11 	-2.75163e-22
5.62 	-0.0013525 	0 		-3.79614e-11 	-1.77741e-22
5.64 	-0.00132572 	0 		-3.23514e-11 	-1.14582e-22
5.66 	-0.00129947 	0 		-2.75547e-11 	-7.37188e-23
5.68 	-0.00127374 	0 		-2.3456e-11 	-4.73337e-23
5.7 	-0.00124851 	0 		-1.99555e-11 	-3.03315e-23
5.72 	-0.00122379 	0 		-1.69678e-11 	-1.93976e-23
5.74 	-0.00119956 	0 		-1.44193e-11 	-1.23804e-23
5.76 	-0.00117581 	0 		-1.22465e-11 	-7.88592e-24
5.78 	-0.00115252 	0 		-1.03953e-11 	-5.01304e-24
5.8 	-0.0011297 	0 		-8.81886e-12 	-3.1804e-24
5.82 	-0.00110733 	0 		-7.47725e-12 	-2.01369e-24
5.84 	-0.00108541 	0 		-6.33614e-12 	-1.27244e-24
5.86 	-0.00106391 	0 		-5.36613e-12 	-8.02436e-25
5.88 	-0.00104285 	0 		-4.54204e-12 	-5.05028e-25
5.9 	-0.0010222 	0 		-3.84232e-12 	-3.17214e-25
5.92 	-0.00100196 	0 		-3.24855e-12 	-1.98848e-25
5.94 	-0.000982116 	0 		-2.74498e-12 	-1.244e-25
5.96 	-0.000962668 	0 		-2.31815e-12 	-7.76697e-26
5.98 	-0.000943606 	0 		-1.95658e-12 	-4.83965e-26
6 	-0.000924922 	0 		-1.65047e-12 	-3.00959e-26
6.02 	-0.000906607 	0 		-1.39146e-12 	-1.86781e-26
6.04 	-0.000888655 	0 		-1.17243e-12 	-1.15688e-26
6.06 	-0.000871058 	0 		-9.87313e-13 	-7.15116e-27
6.08 	-0.00085381 	0 		-8.30955e-13 	-4.41159e-27
6.1 	-0.000836904 	0 		-6.98961e-13 	-2.7161e-27
6.12 	-0.000820332 	0 		-5.876e-13 	-1.66889e-27
6.14 	-0.000804088 	0 		-4.93701e-13 	-1.02339e-27
6.16 	-0.000788166 	0 		-4.14572e-13 	-6.26303e-28
6.18 	-0.000772559 	0 		-3.47928e-13 	-3.82525e-28
6.2 	-0.000757262 	0 		-2.91831e-13 	-2.33167e-28
6.22 	-0.000742267 	0 		-2.44639e-13 	-1.41842e-28
6.24 	-0.000727569 	0 		-2.04963e-13 	-8.61143e-29
6.26 	-0.000713162 	0 		-1.71624e-13 	-5.21767e-29
6.28 	-0.000699041 	0 		-1.43626e-13 	-3.15507e-29
6.3 	-0.000685199 	0 		-1.20127e-13 	-1.90403e-29
6.32 	-0.000671631 	0 		-1.00416e-13 	-1.14675e-29
6.34 	-0.000658332 	0 		-8.38915e-14 	-6.89278e-30
6.36 	-0.000645296 	0 		-7.00465e-14 	-4.13478e-30
6.38 	-0.000632518 	0 		-5.84532e-14 	-2.47538e-30
6.4 	-0.000619993 	0 		-4.8751e-14 	-1.47898e-30
6.42 	-0.000607717 	0 		-4.06361e-14 	-8.81888e-31
6.44 	-0.000595683 	0 		-3.38527e-14 	-5.24803e-31
6.46 	-0.000583888 	0 		-2.81856e-14 	-3.11681e-31
6.48 	-0.000572326 	0 		-2.3454e-14 	-1.84738e-31
6.5 	-0.000560993 	0 		-1.95055e-14 	-1.09278e-31
6.52 	-0.000549885 	0 		-1.62126e-14 	-6.45123e-32
6.54 	-0.000538996 	0 		-1.34679e-14 	-3.80086e-32
6.56 	-0.000528324 	0 		-1.11815e-14 	-2.23488e-32
6.58 	-0.000517862 	0 		-9.27804e-15 	-1.31146e-32
6.6 	-0.000507608 	0 		-7.69421e-15 	-7.68051e-33
6.62 	-0.000497556 	0 		-6.37713e-15 	-4.48906e-33
6.64 	-0.000487704 	0 		-5.2825e-15 	-2.61849e-33
6.66 	-0.000478047 	0 		-4.37328e-15 	-1.52433e-33
6.68 	-0.000468581 	0 		-3.6185e-15 	-8.85602e-34
6.7 	-0.000459302 	0 		-2.99228e-15 	-5.13487e-34
6.72 	-0.000450208 	0 		-2.47304e-15 	-2.97133e-34
6.74 	-0.000441293 	0 		-2.04273e-15 	-1.71595e-34
6.76 	-0.000432555 	0 		-1.68634e-15 	-9.88983e-35
6.78 	-0.00042399 	0 		-1.39134e-15 	-5.68859e-35
6.8 	-0.000415594 	0 		-1.14729e-15 	-3.26552e-35
6.82 	-0.000407365 	0 		-9.45514e-16 	-1.87082e-35
6.84 	-0.000399298 	0 		-7.78781e-16 	-1.06965e-35
6.86 	-0.000391392 	0 		-6.41085e-16 	-6.10354e-36
6.88 	-0.000383642 	0 		-5.27436e-16 	-3.4758e-36
6.9 	-0.000376045 	0 		-4.33687e-16 	-1.97542e-36
6.92 	-0.000368599 	0 		-3.564e-16 	-1.12045e-36
6.94 	-0.0003613 	0 		-2.92719e-16 	-6.3425e-37
6.96 	-0.000354146 	0 		-2.4028e-16 	-3.5831e-37
6.98 	-0.000347133 	0 		-1.97123e-16 	-2.02017e-37
7 	-0.00034026 	0 		-1.61626e-16 	-1.13671e-37
7.02 	-0.000333522 	0 		-1.32446e-16 	-6.38324e-38
7.04 	-0.000326918 	0 		-1.08472e-16 	-3.57737e-38
7.06 	-0.000320444 	0 		-8.87876e-17 	-2.00087e-38
7.08 	-0.000314099 	0 		-7.26339e-17 	-1.11688e-38
7.1 	-0.00030788 	0 		-5.93854e-17 	-6.22189e-39
7.12 	-0.000301783 	0 		-4.85258e-17 	-3.45916e-39
7.14 	-0.000295808 	0 		-3.96296e-17 	-1.91934e-39
7.16 	-0.00028995 	0 		-3.23459e-17 	-1.06283e-39
7.18 	-0.000284209 	0 		-2.63859e-17 	-5.87361e-40
7.2 	-0.000278581 	0 		-2.15119e-17 	-3.23951e-40
7.22 	-0.000273065 	0 		-1.75283e-17 	-1.78314e-40
7.24 	-0.000267658 	0 		-1.42742e-17 	-9.79539e-41
7.26 	-0.000262358 	0 		-1.16176e-17 	-5.37019e-41
7.28 	-0.000257163 	0 		-9.45013e-18 	-2.93825e-41
7.3 	-0.000252071 	0 		-7.68264e-18 	-1.60443e-41
7.32 	-0.000247079 	0 		-6.24219e-18 	-8.74344e-42
7.34 	-0.000242187 	0 		-5.06893e-18 	-4.75528e-42
7.36 	-0.000237391 	0 		-4.11385e-18 	-2.58108e-42
